density_tier,total_videos,avg_recall,total_matched,total_instances,macro_recall
1-5,73,0.9892694063926941,194,197,0.9847715736040609
6-15,66,0.989494512221785,629,635,0.9905511811023622
16-50,62,0.9715445589290623,1570,1616,0.9715346534653465
>50,11,0.9976076555023923,908,910,0.9978021978021978
