nms_sigma,pre_nms_topk,max_seg_num,mAP_all,mAP_overlap,mAP_non_overlap,overlap_ratio,time_s
0.55,5000,4000,0.6906074300485432,0.20772447887947137,0.43744610409640494,0.14949374627754616,94.96421027183533
0.55,5000,5000,0.6906141387524648,0.20772330669699116,0.43745397159187976,0.14949374627754616,105.29123497009277
0.55,6000,2000,0.6905648862653704,0.20771668692348566,0.4374279791114907,0.14949374627754616,69.00125503540039
0.55,6000,3000,0.69059667673271,0.20772427525314852,0.4374372154683647,0.14949374627754616,82.81308460235596
0.55,6000,4000,0.690605666346308,0.20772269654473136,0.4374455037893544,0.14949374627754616,96.12819981575012
0.55,6000,5000,0.6906130206494447,0.20772158187238382,0.4374523438277159,0.14949374627754616,105.28709244728088
0.58,2000,2000,0.6907787935380358,0.20768926584914754,0.4376780257613406,0.14949374627754616,64.32391428947449
0.58,2000,3000,0.6908239868110264,0.20769894510600523,0.4377016464343436,0.14949374627754616,79.74679255485535
0.58,2000,4000,0.6908375986457013,0.20770022981786757,0.4377106821896901,0.14949374627754616,93.70153617858887
0.58,2000,5000,0.6908449117460952,0.20770000627630822,0.4377163885442517,0.14949374627754616,97.67716360092163
0.58,3000,2000,0.6907676904567862,0.20768985606184837,0.43768413326404076,0.14949374627754616,65.40804743766785
0.58,3000,3000,0.6908077498589045,0.20769393105152104,0.4377085140703911,0.14949374627754616,81.48707628250122
0.58,3000,4000,0.6908165590326856,0.20769469539905647,0.4377131049986551,0.14949374627754616,93.24397778511047
0.58,3000,5000,0.6908248985817882,0.2076946155426731,0.43772084569318903,0.14949374627754616,102.50517725944519
0.58,4000,2000,0.6907674417573606,0.20768989102956228,0.4376836746454241,0.14949374627754616,67.13148260116577
0.58,4000,3000,0.6908056646894909,0.20769935386058452,0.4377036007463495,0.14949374627754616,82.76972556114197
0.58,4000,4000,0.6908152156674124,0.2076979562716052,0.4377104296189649,0.14949374627754616,93.99838423728943
0.58,4000,5000,0.6908207783084592,0.2076983293177787,0.4377180069636709,0.14949374627754616,104.63014221191406
0.58,5000,2000,0.6907674458615273,0.2076898929367971,0.43768367911972994,0.14949374627754616,68.72783923149109
0.58,5000,3000,0.6908032645385426,0.20769931972478212,0.4377010817546492,0.14949374627754616,83.83322429656982
0.58,5000,4000,0.6908098634838511,0.20769720760172924,0.43770860452735805,0.14949374627754616,95.1046507358551
